period,"Monthly – Colombia – Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade – Recent, monthly, rolling weights (IMF/PCTOT/M.CO.xm.R_RW_IX)"
1980-01,110.038040161133
1980-02,108.067390441895
1980-03,112.849182128906
1980-04,109.661834716797
1980-05,113.873344421387
1980-06,109.473304748535
1980-07,98.638053894043
1980-08,90.7328643798828
1980-09,86.7222137451172
1980-10,86.3084869384766
1980-11,81.2761917114258
1980-12,82.6822738647461
1981-01,84.6181030273438
1981-02,82.4265975952148
1981-03,82.054313659668
1981-04,81.7350616455078
1981-05,80.3697738647461
1981-06,71.2261581420898
1981-07,73.4238357543945
1981-08,74.2952880859375
1981-09,74.5351867675781
1981-10,79.0746994018555
1981-11,82.4145126342773
1981-12,82.0135116577148
1982-01,83.1144332885742
1982-02,88.3116836547852
1982-03,87.142204284668
1982-04,84.6428527832031
1982-05,82.0294036865234
1982-06,82.7055206298828
1982-07,80.6727142333984
1982-08,81.9663848876953
1982-09,84.4674530029297
1982-10,86.3548355102539
1982-11,87.816291809082
1982-12,89.1836395263672
1983-01,87.2640075683594
1983-02,87.2439041137695
1983-03,86.967887878418
1983-04,86.5683364868164
1983-05,88.8997344970703
1983-06,88.3540115356445
1983-07,88.0226287841797
1983-08,86.8441619873047
1983-09,86.6916809082031
1983-10,90.1986618041992
1983-11,90.2557067871094
1983-12,91.122200012207
1984-01,90.2775421142578
1984-02,91.7987060546875
1984-03,91.8225860595703
1984-04,91.6048889160156
1984-05,93.213493347168
1984-06,93.3503799438477
1984-07,91.9725952148438
1984-08,92.1188201904297
1984-09,92.4898910522461
1984-10,90.3946533203125
1984-11,90.5596466064453
1984-12,90.0090103149414
1985-01,91.5200805664063
1985-02,91.2605972290039
1985-03,91.0349426269531
1985-04,90.600212097168
1985-05,90.3333969116211
1985-06,89.5847778320313
1985-07,85.5935974121094
1985-08,87.3054428100586
1985-09,86.5437164306641
1985-10,87.7239532470703
1985-11,92.3930587768555
1985-12,101.976257324219
1986-01,110.079978942871
1986-02,109.311256408691
1986-03,113.235633850098
1986-04,110.547050476074
1986-05,103.564743041992
1986-06,96.040657043457
1986-07,95.6610870361328
1986-08,96.6520156860352
1986-09,105.737884521484
